State,County,state_name,decade,missing_count,bodies_count,population,missing_per_100k,bodies_per_100k,mp_z_score,bodies_z_score,poverty_rate,median_household_income,unemployment_rate,pct_foreign_born,log_pop_density,predicted_mp_rate,mp_residual,mp_residual_z,predicted_bodies_rate,bodies_residual,bodies_residual_z,adj_anomaly,rf_predicted_mp,rf_residual_mp,rf_residual_mp_z,rf_predicted_bodies,rf_residual_bodies,rf_residual_bodies_z,rf_overperformance_rank
TX,Kenedy,Texas,2020,16,9,346.5,4617.6046176046175,2597.4025974025976,74.31484158589265,19.39726495594522,2.586206896551724,45455.0,0.0,29.310344827586203,,279.8828066364491,4337.721810968168,46.81866724430891,424.3793503478775,2173.0232470547203,12.985712296262813,Extreme Residual (>3 sigma),2588.8810714562355,2028.723546148382,40.92422503082053,4624.646602450844,-2027.244005048246,-28.263684762352707,1.0
TX,Kenedy,Texas,2010,5,32,425.9,1173.9845034045552,7513.500821789153,18.821453803322022,56.184943253213085,2.586206896551724,45455.0,0.0,29.310344827586203,,279.8828066364491,894.1016967681061,9.650376775594735,424.3793503478775,7089.121471441275,42.36369398540426,Extreme Residual (>3 sigma),2588.8810714562355,-1414.8965680516803,-28.543814024816783,4624.646602450844,2888.854219338309,40.273849467173314,2637.0
TX,Brooks,Texas,2010,57,231,7186.8,793.1207213224245,3214.226081148773,12.683894824540822,24.01301973759136,33.21630285452603,30566.0,2.05078125,9.08060631817538,,44.43815729225203,748.6825640301724,8.080813238947902,96.21178313344848,3118.0142980153246,18.632859388200217,Extreme Residual (>3 sigma),670.8856276517893,122.23509367063525,2.4646941058738703,2366.4924284830886,847.7336526656845,11.817670538329626,3.0
TX,Brooks,Texas,2020,52,157,6923.0,751.1194568828543,2267.8029755886178,12.007051160719676,16.93083643870239,33.21630285452603,30566.0,2.05078125,9.08060631817538,,44.43815729225203,706.6812995906022,7.627477753333264,96.21178313344848,2171.591192455169,12.977154518959917,Extreme Residual (>3 sigma),670.8856276517893,80.23382923106499,1.6174039339868367,2366.4924284830886,-98.68945289447083,-1.3768392196680528,8.0
AK,Lake and Peninsula,Alaska,2010,9,0,1610.8,558.7285820710206,0.0,8.906702960947014,-0.0393709289405065,15.175879396984923,61607.0,13.957597173144876,6.506506506506507,,73.8948826006855,484.8336994703351,5.232992947342207,56.25215463282514,-56.25215463282514,-0.33615576690071186,Extreme Residual (>3 sigma),250.90046113983223,307.8281209311883,6.208656342888797,13.69772845720555,-13.69772845720555,-0.191931401115996,2.0
TX,Terrell,Texas,2020,3,0,688.0,436.04651162790697,0.0,6.929701002747619,-0.0393709289405065,6.380510440835267,52813.0,0.0,2.320185614849188,,120.08843694865185,315.9580746792551,3.410254646611109,178.4825634984992,-178.4825634984992,-1.0665892427208834,Extreme Residual (>3 sigma),323.66323718302175,112.38327444488522,2.2659536699235296,49.66972804585207,-49.66972804585207,-0.6934332101891864,4.0
AK,Denali,Alaska,2020,4,0,1579.5,253.24469768914213,0.0,3.983878986425217,-0.0393709289405065,7.309941520467836,87292.0,1.897810218978102,9.51927653498334,,91.79892092575008,161.44577676339205,1.742545149200602,127.52318806623447,-127.52318806623447,-0.7620624554177334,Normal,159.88417107241315,93.36052661672898,1.882208382915044,7.161648786271928,-7.161648786271928,-0.10080897765599264,5.0
AK,Haines,Alaska,2020,5,0,2077.0,240.7318247472316,0.0,3.782236038767857,-0.0393709289405065,5.842588121680348,68276.0,4.275534441805226,4.473304473304474,,91.40657995098121,149.3252447962504,1.611723677072366,116.32860377661599,-116.32860377661599,-0.6951650344820482,Normal,153.76705917661312,86.96476557061848,1.7531868987189172,20.57620632886752,-20.57620632886752,-0.28782735173746604,7.0
TX,Jeff Davis,Texas,2020,4,1,1971.5,202.8911995942176,50.7227998985544,3.1724404120981307,0.3401930992451897,24.602767811378783,38125.0,0.0,11.04417670682731,,97.49979307380386,105.39140652041374,1.1375291932766016,172.32845084170444,-121.60565094315004,-0.7267000014324936,Normal,115.71619314203062,87.17500645218698,1.7574280813370775,133.79991335573345,-83.07711345717905,-1.1591805806932618,6.0
SD,Oglala Lakota,South Dakota,2010,2,0,14378.0,13.910140492418972,0.0,0.1270408475375258,-0.0393709289405065,55.77648015374381,32279.0,11.83249016301293,0.1168309602044541,,-89.72771228852557,103.63785278094454,1.1186024265080112,-130.03752339135048,130.03752339135048,0.777087805557241,Normal,16.70755332634171,-2.7974128339227384,-0.05758267177252941,11.293360621769231,-11.293360621769231,-0.15841102880037755,2414.0
AK,Bethel,Alaska,2010,10,0,17728.285714285714,56.4070331512192,0.0,0.8118714809004924,-0.0393709289405065,25.25608547196828,64094.0,16.162003321834675,2.2494335958571585,,-32.811023808922855,89.21805696014206,0.9629641325634893,-98.06873242881103,98.06873242881103,0.5860463510023602,Normal,48.16347992905152,8.243553222167684,0.16514638537105297,0.7887580854109545,-0.7887580854109545,-0.011961644951245893,100.0
AK,Bethel,Alaska,2020,10,0,18504.666666666668,54.0404222358324,0.0,0.7737339242296888,-0.0393709289405065,25.25608547196828,64094.0,16.162003321834675,2.2494335958571585,,-32.811023808922855,86.85144604475525,0.937420408513672,-98.06873242881103,98.06873242881103,0.5860463510023602,Normal,48.16347992905152,5.876942306780883,0.11740481863387002,0.7887580854109545,-0.7887580854109545,-0.011961644951245893,164.0
