State,County,state_name,mean_mp_rate,mean_bodies_rate,mp_trend,bodies_trend,mean_mp_robust_z,mean_bodies_robust_z,log_population,dbscan_cluster,hierarchical_cluster,silhouette_dbscan,silhouette_hierarchical
AK,Anchorage,Alaska,8.118678527370937,0.7306080384752492,2.3259684715818745,0.21354889969065277,2.986815943440146,0.0,5.458705820233904,0,0,,-0.037592893672419976
AK,Bethel,Alaska,74.0380330576612,1.0364842454394692,-3.8501784403782864,-0.177683013503909,33.80862606655679,0.0,4.267281266349198,-1,1,,0.4012635286110873
AK,Fairbanks North Star,Alaska,14.743362067423456,1.3142235742836301,-0.3196084320911182,-0.07877991773589711,6.084308927893008,0.0,4.977777545885095,0,0,,0.1528953894507693
AK,Hoonah–Angoon,Alaska,0.2895736167943284,0.0,0.07024348105164997,0.0,-0.6738264689012939,0.0,5.865344458605539,0,3,,0.69278011321417
AK,Juneau,Alaska,1.9940203686180447,0.1290975371778613,0.3305332211984202,0.03576274275059785,0.12311904920953375,0.0,5.865325212944328,0,3,,0.675105237924176
AK,Kenai Peninsula,Alaska,40.5523743113153,0.981141031470397,-12.737240430412658,0.053030026083269836,18.151788661495374,0.0,4.781956323948669,-1,1,,-0.17279387663478868
AK,Ketchikan Gateway,Alaska,58.84982019852354,2.8776367814188424,-19.176743060147796,0.7347796385616993,26.707096990772044,0.0,4.13994202306998,-1,1,,0.3587307060923008
AK,Kodiak Island,Alaska,127.42727404910806,2.4381086128624863,-37.17063709420137,1.2538844294721359,58.771750480943346,0.0,4.1126887693970975,-1,1,,0.4139357205507105
AK,Matanuska-Susitna,Alaska,9.879228423747605,0.6830525003565281,0.8798788780220843,0.05835946507375967,3.8099935216347283,0.0,5.0528804676950845,0,0,,0.17966955009315436
AK,North Slope,Alaska,28.796093166663013,0.0,-2.8880976168627615,0.0,12.654922562359834,0.0,4.038719486016895,-1,0,,0.07179716494030955
AK,Prince of Wales – Hyder,Alaska,0.7808341671199479,0.0,-0.15712436112292016,0.0,-0.44412853707223715,0.0,5.865305966430212,0,3,,0.697375693795489
AK,Prince of Wales-Outer Ketchikan,Alaska,0.3522290677951284,0.0,-0.2143053228935483,0.0,-0.6445307570775757,0.0,5.869808244293925,0,3,,0.6873989981430594
AK,Sitka,Alaska,1.0653405751886207,0.059124514627380095,-0.38234106480651975,0.011350999308802418,-0.31110231812961725,0.0,5.865257204776717,0,3,,0.6876830010857741
AK,Skagway Yakutat Angoon,Alaska,0.20064032757775882,0.0,-0.011745291012402499,0.0,-0.7154088686894742,0.0,5.867245864529438,0,3,,0.6881897527300079
AK,Valdez–Cordova,Alaska,1.5671541323713176,0.0,-0.38270139349113,0.0,-0.07647013328952229,0.0,5.865082644511123,0,3,,0.674325545303137
AK,Wrangell Petersburg,Alaska,0.25603461863055976,0.0,-0.02464201779393959,0.0,-0.6895082461348412,0.0,5.865344458605539,0,3,,0.6900602527812781
AK,Yakutat,Alaska,0.6940270649025595,0.0,-0.2729803179519875,0.0,-0.48471679891046393,0.0,5.865344458605539,0,3,,0.6918099662902591
AK,Yukon–Koyukuk,Alaska,0.613190703986426,0.01944907916000827,-0.07509360345263019,0.009724539580004136,-0.5225133305202498,0.0,5.865344458605539,0,3,,0.6989035842255773
AL,Autauga,Alabama,1.3965210247403541,1.0449644861082892,0.7671679979126815,-0.49067143733242763,-0.1562527901676664,0.0,4.780619700511976,0,0,,0.3402062432412208
AL,Baldwin,Alabama,1.0630074665299005,0.11791729752420843,0.25860762028715834,-0.020214393861292874,-0.31219320611825246,0.0,5.383918842557567,0,3,,0.488372470776481
AL,Barbour,Alabama,5.49683150224835,0.0,4.100676618144811,0.0,1.760923005683087,0.0,4.423245873936808,0,0,,0.3382144747678945
AL,Blount,Alabama,3.115132357433398,0.610232376488967,-1.1973388364211748,0.0,0.6473156390007525,0.0,4.7600302349326755,0,0,,0.38393498141761
AL,Butler,Alabama,4.689331770222744,0.0,0.0,0.0,1.383361611274646,0.0,4.32888903983956,0,0,,0.48623273466308836
AL,Calhoun,Alabama,2.6398953391506788,0.0,-0.07790181368987037,0.0,0.42510980513969115,0.0,5.064849052531812,0,0,,0.12051759334399542
AL,Cherokee,Alabama,4.165625260351579,2.0828126301757894,8.331250520703158,-4.165625260351579,1.1384929725795865,0.0,4.380319801762641,0,2,,0.2570487120479713
AL,Chilton,Alabama,3.945027688907493,0.0,2.1672134930645206,0.0,1.0353485090283543,0.0,4.642009212267617,0,0,,0.39425869631724153
AL,Clarke,Alabama,4.035771223513439,0.0,0.882211414279475,0.0,1.0777773224391374,0.0,4.349024844207768,0,0,,0.48433423052408586
AL,Cleburne,Alabama,13.579906275540147,0.0,13.04747837100691,0.0,5.540313711926657,0.0,4.173846438092071,0,2,,0.14223750545147637
AL,Coffee,Alabama,3.0107928925253176,0.0,0.5634693358691418,0.0,0.598529797594088,0.0,4.739738436258237,0,0,,0.4222913990256402
AL,Cullman,Alabama,1.2210061395151557,0.0,-0.08759320956974592,0.0,-0.2383180122066034,0.0,4.952497002962261,0,0,,0.19411896482546268
AL,Dale,Alabama,4.036345973841636,0.0,4.0013622514044656,0.0,1.0780460575566166,0.0,4.696298129362139,0,0,,0.2753583196350313
AL,Dallas,Alabama,3.870840688438514,0.72153195665036,2.4372410431391667,-1.08229793497554,1.0006610085461134,0.0,4.613101516966912,0,0,,0.379326120687991
AL,Elmore,Alabama,1.975321842348514,0.3241533115502308,-0.45313062690328154,-0.12966132462009233,0.11437620834939212,0.0,4.948359164706384,0,0,,0.24381926185541009
AL,Escambia,Alabama,2.6520712460727807,0.6523157208088715,0.5641992245593942,-0.2609262883235486,0.43080287501126174,0.0,4.562982428508112,0,0,,0.47579320891264376
AL,Etowah,Alabama,1.454453056749967,0.0,0.9725352597540242,0.0,-0.1291656000188896,0.0,5.013066960525702,0,0,,0.11425459303567027
AL,Franklin,Alabama,2.3936038726098143,0.7914648431316682,-0.3398229015970394,0.31658593725266726,0.3099516870003777,0.0,4.5024544332438925,0,0,,0.4724081083495839
AL,Jefferson,Alabama,0.9830702581036754,0.7565147868177228,0.2282404903967335,0.17246487659550372,-0.3495693223961048,0.0,5.8242014870252135,0,3,,0.70280300028757
AL,Lauderdale,Alabama,2.4896545568078206,0.0,1.5190227703780355,0.0,0.35486195609571675,0.0,4.9815173496000815,0,0,,0.18926292752099375
AL,Lawrence,Alabama,2.9455400812362678,0.0,0.15614869490357242,0.0,0.5680196420581065,0.0,4.519473590872356,0,0,,0.484771845319711
AL,Lee,Alabama,0.9577248493983312,0.34653036472320886,0.11151362278711202,-0.08663259118080222,-0.3614200357438812,0.0,5.1816806969700915,0,0,,-0.18843857136548134
AL,Macon,Alabama,4.829763969991079,0.8317045785337049,1.704811740679064,-0.8317045785337049,1.4490232766121347,0.0,4.267922291531118,0,0,,0.4523119317175681
AL,Madison,Alabama,0.8125406314186986,0.2412697865154822,0.19920751540773024,0.048693999895727334,-0.4293035948491998,0.0,5.610250370508683,0,3,,0.6672251307660629
AL,Marshall,Alabama,1.1261711206714842,0.0,-0.1739882976663607,0.0,-0.2826598745420227,0.0,4.9833104857941155,0,0,,0.14890013858264833
AL,Mobile,Alabama,1.9708963440835259,0.24683604395745423,0.08288020214491479,0.021936506571207146,0.1123069850052684,0.0,5.615633942714653,0,3,,0.6269550833964577
AL,Montgomery,Alabama,1.4394584275134412,0.2198057730714238,-0.3180443222241189,0.1760532718390086,-0.13617661550118407,0.0,5.3559014819344775,0,0,,-0.4235244103712844
AL,Pickens,Alabama,5.080094436484914,0.0,0.582103532229441,0.0,1.566069903680651,0.0,4.269933025967809,0,0,,0.47701818157716375
AL,Randolph,Alabama,4.428766996946406,0.0,-0.0802145872396034,0.0,1.261529745293526,0.0,4.357668093043634,0,0,,0.489168327883315
AL,Russell,Alabama,2.6951613796851968,0.0,1.3746616811653931,0.0,0.450950461798862,0.0,4.77179318927048,0,0,,0.3704039816946509
AL,Shelby,Alabama,0.7466773624148165,0.0,0.06446217353038147,0.0,-0.4600991811499212,0.0,5.353497884075133,0,3,,0.4501404643075581
AL,St. Clair,Alabama,1.2316005844534161,0.2799912642725547,-0.14988999431539446,0.11199650570902189,-0.23336438405636362,0.0,4.972577706961588,0,0,,0.17618553238322535
AL,Talladega,Alabama,1.2292237063284306,0.9254928372101042,-0.2507504223249596,-0.37507194403306293,-0.23447573726629883,0.0,4.911557082459913,0,0,,0.23954281122123272
AL,Tallapoosa,Alabama,2.406558161562153,0.0,0.01176580863169896,0.0,0.31600870374779594,0.0,4.6157817693790255,0,0,,0.4586666309815652
AL,Tuscaloosa,Alabama,0.9509800665607872,0.3553500075276217,0.14898709530055845,-0.1813631252493743,-0.3645736833701623,0.0,5.368488640820227,0,3,,0.4698411157461439
AL,Walker,Alabama,5.0822978298580255,0.2832780941049829,0.41288049422921475,-0.2832780941049829,1.5671001408948426,0.0,4.810474472276444,0,0,,0.3712126930983513
AL,Winston,Alabama,8.337761778662601,0.0,8.5444506622567,0.0,3.08925235867179,0.0,4.376406612091825,0,0,,-0.030641267309058123
AR,Arkansas,Arkansas,7.09098240603977,1.6044153510460788,8.229850582490537,-2.406623026569118,2.506297665589327,0.0,4.2606993086294285,0,2,,0.1807110858245164
AR,Ashley,Arkansas,6.9860235816774905,0.0,5.700406483426116,0.0,2.457222231245485,0.0,4.308201460651076,0,0,,0.16689976555596492
AR,Baxter,Arkansas,1.6610836748793094,0.8670169415110371,-0.10942531221414731,0.0,-0.03255164311677281,0.0,4.623021743211246,0,0,,0.43254939804694476
AR,Benton,Arkansas,1.2441381554472497,0.12924572196660292,0.3799530434927846,-0.12924572196660292,-0.2275022114769968,0.0,5.48094785305271,0,3,,0.578090547177527
AR,Boone,Arkansas,2.774550756077452,0.0,-0.32444111508071316,0.0,0.4880704291042207,0.0,4.582971929104806,0,0,,0.46801067257386275
AR,Bradley,Arkansas,9.079892046060417,0.0,1.5097674421041845,0.0,3.436249054123998,0.0,4.007235537545951,0,0,,0.33730865116682784
AR,Carroll,Arkansas,5.656391583582103,0.867633789130284,-1.6734015985318833,1.0411605469563407,1.8355282648689633,0.0,4.459603551836237,0,0,,0.40960371529583756
AR,Chicot,Arkansas,3.5556819798037265,7.111363959607453,7.111363959607453,-14.222727919214906,0.8533027410781799,0.0,4.148047093599335,-1,2,,0.27336857407848564
AR,Clay,Arkansas,5.782429706386505,0.0,0.12030020193591894,0.0,1.8944597140166686,0.0,4.226006694729179,0,0,,0.4650177276312694
AR,Cleburne,Arkansas,4.014477747642633,0.0,-0.2697996914367242,0.0,1.0678211650278935,0.0,4.411215523075143,0,0,,0.4898891078728007
AR,Columbia,Arkansas,3.92854895811403,2.000854991301244,-0.7724219730651808,0.8384649520209642,1.0276435744881853,0.0,4.387532194634351,0,0,,0.44963305674954235
AR,Craighead,Arkansas,1.73079895399014,0.0,0.2843249588832607,0.0,4.502156153102695e-05,0.0,5.050489959488569,0,0,,0.09288884090460629
AR,Crawford,Arkansas,2.629837194058906,0.4002497558476489,-0.1604254317130577,0.16009990233905955,0.4204069338749714,0.0,4.782411704001056,0,0,,0.40433925781790453
AR,Crittenden,Arkansas,10.98829633756127,4.49943604928558,10.308573200952017,-2.074330829889739,4.328558682000466,0.0,4.675331448195403,-1,2,,0.21147245027630174
AR,Cross,Arkansas,7.325250785899763,0.0,0.28408122783678724,0.0,2.6158341677796964,0.0,4.24355888962248,0,0,,0.42621675537142634
AR,Desha,Arkansas,0.0,6.771400965581811,0.0,0.4726150274908978,-0.809221954750564,0.0,4.154423973114647,0,0,,0.24429797573223505
AR,Drew,Arkansas,2.686005909213,2.678093197643278,5.372011818426,-5.356186395286556,0.446669652702769,0.0,4.269863040554411,0,2,,0.24936252795418903
AR,Faulkner,Arkansas,1.8496242196950086,0.6560312151392934,1.5563798604446057,-0.5780279996763044,0.05560396632791903,0.0,5.108914393266512,0,0,,-0.010316156198899711
AR,Franklin,Arkansas,11.376981636394953,0.0,2.993466790475822,0.0,4.5102956629472954,0.0,4.235642055602906,0,0,,0.22429557521985172
AR,Garland,Arkansas,2.43115619959141,1.0934758415981287,0.22771761397333173,-0.037330305369286255,0.32750997015037564,0.0,4.989919752364597,0,0,,0.22022484707204934
