State,County,year,missing_count,bodies_count,state_name,population,missing_per_100k,bodies_per_100k,mp_z_score,bodies_z_score,composite_z_score,alert_level,alert_reason
AK,Aleutians East,1971,1,0,Alaska,2693.0,37.13330857779428,0.0,1.2609176491569323,-0.0530175948927142,0.603950027132109,GREEN,Normal
AK,Aleutians East,1984,1,0,Alaska,2693.0,37.13330857779428,0.0,1.2609176491569323,-0.0530175948927142,0.603950027132109,GREEN,Normal
AK,Aleutians East,1989,1,0,Alaska,2693.0,37.13330857779428,0.0,1.2609176491569323,-0.0530175948927142,0.603950027132109,GREEN,Normal
AK,Aleutians East,1992,6,0,Alaska,2693.0,222.79985146676566,0.0,8.021549351295599,-0.0530175948927142,3.9842658782014424,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians East,1998,2,0,Alaska,2693.0,74.26661715558856,0.0,2.6130439895846655,-0.0530175948927142,1.2800131973459756,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians East,2001,1,0,Alaska,2590.0,38.61003861003861,0.0,1.3146894688727842,-0.0530175948927142,0.6308359369900349,GREEN,Normal
AK,Aleutians East,2003,1,0,Alaska,2732.0,36.603221083455345,0.0,1.2416156992020708,-0.0530175948927142,0.5942990521546783,GREEN,Normal
AK,Aleutians East,2006,1,0,Alaska,2794.0,35.79098067287043,0.0,1.2120397821622289,-0.0530175948927142,0.5795110936347573,GREEN,Normal
AK,Aleutians East,2007,2,0,Alaska,3012.0,66.40106241699867,0.0,2.326637414155418,-0.0530175948927142,1.1368099096313518,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians East,2008,2,0,Alaska,2991.0,66.86726847208291,0.0,2.3436132644442678,-0.0530175948927142,1.1452978347757767,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians East,2014,1,0,Alaska,3347.0,29.877502240812667,0.0,0.996713697367348,-0.0530175948927142,0.47184805123731693,GREEN,Normal
AK,Aleutians East,2019,1,0,Alaska,3355.0,29.806259314456035,0.0,0.9941195456209679,-0.0530175948927142,0.4705509753641269,GREEN,Normal
AK,Aleutians West,1979,3,0,Alaska,5470.0,54.844606946983546,0.0,1.9058349475437617,-0.0530175948927142,0.9264086763255237,GREEN,Normal
AK,Aleutians West,1983,1,0,Alaska,5470.0,18.281535648994517,0.0,0.5744725216673864,-0.0530175948927142,0.2607274633873361,GREEN,Normal
AK,Aleutians West,1985,2,0,Alaska,5470.0,36.56307129798903,0.0,1.240153734605574,-0.0530175948927142,0.5935680698564298,GREEN,Normal
AK,Aleutians West,1986,5,0,Alaska,5470.0,91.40767824497257,0.0,3.2371973734201362,-0.0530175948927142,1.592089889263711,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians West,1987,3,0,Alaska,5470.0,54.844606946983546,0.0,1.9058349475437617,-0.0530175948927142,0.9264086763255237,GREEN,Normal
AK,Aleutians West,1988,1,0,Alaska,5470.0,18.281535648994517,0.0,0.5744725216673864,-0.0530175948927142,0.2607274633873361,GREEN,Normal
AK,Aleutians West,1989,3,0,Alaska,5470.0,54.844606946983546,0.0,1.9058349475437617,-0.0530175948927142,0.9264086763255237,GREEN,Normal
AK,Aleutians West,1990,9,0,Alaska,5470.0,164.53382084095063,0.0,5.899922225172887,-0.0530175948927142,2.923452315140086,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians West,1991,9,0,Alaska,5470.0,164.53382084095063,0.0,5.899922225172887,-0.0530175948927142,2.923452315140086,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians West,1995,1,0,Alaska,5470.0,18.281535648994517,0.0,0.5744725216673864,-0.0530175948927142,0.2607274633873361,GREEN,Normal
AK,Aleutians West,1997,1,0,Alaska,5470.0,18.281535648994517,0.0,0.5744725216673864,-0.0530175948927142,0.2607274633873361,GREEN,Normal
AK,Aleutians West,2003,2,0,Alaska,5709.0,35.03240497460151,0.0,1.1844179455384076,-0.0530175948927142,0.5657001753228467,GREEN,Normal
AK,Aleutians West,2004,7,0,Alaska,5798.0,120.73128665056915,0.0,4.3049509574706954,-0.0530175948927142,2.1259666812889906,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians West,2009,2,0,Alaska,5537.0,36.120642947444466,0.0,1.2240436962213015,-0.0530175948927142,0.5855130506642936,GREEN,Normal
AK,Aleutians West,2010,1,0,Alaska,5558.0,17.99208348326736,0.0,0.563932768745731,-0.0530175948927142,0.2554575869265084,GREEN,Normal
AK,Aleutians West,2017,6,0,Alaska,5760.0,104.16666666666667,0.0,3.70178738661658,-0.0530175948927142,1.8243848958619329,ORANGE,High MP / Low Bodies - Destroyer Pattern
AK,Aleutians West,2020,1,0,Alaska,5214.0,19.179133103183734,0.0,0.6071565244506957,-0.0530175948927142,0.27706946477899075,GREEN,Normal
AK,Aleutians West,2024,1,0,Alaska,5160.0,19.37984496124031,0.0,0.6144649976384788,-0.0530175948927142,0.28072370137288233,GREEN,Normal
AK,Anchorage,1961,1,0,Alaska,260816.0,0.38341206060977856,0.0,-0.07724759902656829,-0.0530175948927142,-0.06513259695964124,GREEN,Normal
AK,Anchorage,1965,1,0,Alaska,260816.0,0.38341206060977856,0.0,-0.07724759902656829,-0.0530175948927142,-0.06513259695964124,GREEN,Normal
AK,Anchorage,1966,1,0,Alaska,260816.0,0.38341206060977856,0.0,-0.07724759902656829,-0.0530175948927142,-0.06513259695964124,GREEN,Normal
